Language	English
TBook_Item_Desc_CrossStake0	Indent>O artesão que forjou a corrente e a ponta do gancho para a Cruz de Combate, Rinaldo Gandolfi, queria dar a arma ainda mais opções para o combate corpo a corpo, especialmente contra as sobrenaturais criaturas da noite. E assim ele projetou a estaca em anexo, a qual mais tarde rendeu a Cruz de Combate o apelido de 'Matadora de Vampiros'.
TBook_Item_Desc_Crystals0	Indent>Estas formações cristalinas são o resultado de um fenômeno que ocorre em zonas com elevada concentração de energia das Sombras. Nestes lugares, a terra impregnada de magia entra em erupção bruscamente, criando estes padrões semelhantes a geoides.
TBook_Item_Desc_Crystals1	Indent>Os cristais são, basicamente, produto da cristalização da Magia Sombria, e por isso são muito mais voláteis e perigosos do que as gemas dos medalhões. Eles são tão poderosos que, com apenas um cristal cheio, é possível conjurar um demônio do plano das Sombras.
TBook_Item_Desc_Daggers0	Indent>Estas Adagas foram adaptadas para conferir o máximo de precisão aos seus arremessos. Elas são feitas de prata e carregam pequenos ossos de santos escondidas em seus cabos, características que conferem a elas seu enorme poder destrutivo contra seres sobrenaturais, especialmente aqueles que descendem do Senhor dos Lycans.
TBook_Item_Desc_DarkGems0	Indent>Estes medalhões são usados apenas por alguns membros da Irmandade. A maioria teme o uso da Magia Sombria, evitando qualquer tipo de envolvimento em sua aplicação. Mas alguns membros da Irmandade acreditam que, na luta contra o mal, é preciso aprender sobre os aspectos brancos e negros da magia. Este disco permite ao usuário transformar Orbs Elementares em energia de Magia Sombria. Gemas mágicas podem ser inseridas nos encaixes, e quando os cinco espaços são totalmente preenchidos por gemas avermelhadas, a potência do reservatório de Magia Sombria é aumentada.
TBook_Item_Desc_Fairies0	Indent>As Fadas são uma raça de seres místicos que foram levados a se esconder devido à expansão da humanidade e da civilização. Chamadas às vezes de 'Sídhe', elas habitam prados e florestas, escondidas entre flores e inflorescências. As Fadas nascem do solo, assumindo a forma de belas flores antes de emergir como criaturas plenamente adultas. De acordo com a lenda, a Rainha das Fadas às vezes concede aos homens os cuidados e a proteção do povo das fadas.
TBook_Item_Desc_Gauntlet0	Indent>Esta amostra da tecnologia dos magos-ferreiros aghartianos não era originalmente parte do projeto do Cavaleiro Negro Golem, mas de alguma forma ela acabou sendo fundida junto do constructo durante os estágios finais de sua criação. O pai de Claudia incluiu o item devido ao grande poder e força bruta conferidas por ele ao Golem, e também porque ele considerou necessária a adição a fim de proteger sua amada filha. Mas, na verdade, o artefato tem um propósito muito mais sombrio...
TBook_Item_Desc_LifeGems0	Indent>Estes medalhões são geralmente usados pelos guerreiros da Irmandade da Luz. Gemas mágicas podem ser inseridas nos encaixes, concedendo um aumento de resistência ao usuário. Quando os cinco encaixes são totalmente preenchidos por gemas verdes, a potência da Barra de Saúde é aumentada.
TBook_Item_Desc_LightGems0	Indent>Muitos membros da Irmandade da Luz carregam estes discos mágicos. Eles permitem ao usuário transformar Orbs Elementares em energia de Magia da Luz. Gemas mágicas podem ser inseridas nos encaixes, e quando os cinco espaços são totalmente preenchidos por gemas azuis, a potência do reservatório de Magia da Luz é aumentada.
TBook_Item_Desc_LightGems1	Indent>Este disco foi dado a Gabriel por Zobek quando eles se conheceram.
TBook_Item_Desc_Vials0	Indent>À primeira vista, estes frascos parecem vazios. Quando abertos, no entanto, sempre há algumas gotas de água benta em seu interior. Estas gotas são as lágrimas sem fim dos Quatorze Ajudantes Sagrados, e podem ser utilizadas para abençoar a água que, por sua vez, passa a servir como uma arma excelente contra as criaturas da noite. A garrafa quebra no impacto, lançando chamas sagradas pelo ar, algo devastador contra os Vampiros!
TBook_Item_Desc_Wings0	Indent>Carmilla, como uma das fundadoras da Irmandade, recebeu estes ombros mágicos como um presente da Ordem por sua devoção e pureza de espírito. Os Ombros de Seraph, criados a partir das asas de um Arcanjo, costumavam permitir ao usuário voar por curtas distâncias. Mas após séculos de uso abusivo pela Rainha dos Vampiros, apenas uma fração de seu verdadeiro poder continua disponível.
TBook_Item_Name_Boots	Botas Ciclone
TBook_Item_Name_CrossBody	Cruz de Ferro
TBook_Item_Name_CrossChain0	Corrente de Ferro
TBook_Item_Name_CrossChain1	Corrente de Espinhos
TBook_Item_Name_CrossHook	Ponta de Gancho
TBook_Item_Name_CrossStake	Estaca
TBook_Item_Name_Crystals	Cristais Negros
TBook_Item_Name_Daggers	Adagas de Prata
TBook_Item_Name_DarkGems	Medalhão de Gemas das Sombras
TBook_Item_Name_Fairies	Fadas
TBook_Item_Name_Gauntlet	Luva Negra
TBook_Item_Name_LifeGems	Medalhão de Gemas da Vida
TBook_Item_Name_LightGems	Medalhão de Gemas da Luz
TBook_Item_Name_Vials	Frascos de Água Benta
TBook_Item_Name_Wings	Ombros de Seraph
TBook_Legend_Monolith	Monólito
TBook_Legend_Head	Fechaduras da Gaiola
TBook_Legend_Scarecrows	Espantalho
TBook_Legend_Crows	Bandos de Corvos
TBook_Legend_Posts	Postes
TBook_Legend_MusicCylinder	Cilindro de Música
TBook_Legend_Rose	Rosa Azul
TBook_Legend_Player	Gabriel
TBook_ExtensibleScroll_Not_Completed	Prêmio por resolver o quebra-cabeça:
TBook_ExtensibleScroll_Completed	Este quebra-cabeça já foi resolvido
TBook_ExtensibleScroll_Warning_1_0	Indent>Você vai perder o prêmio do quebra-cabeça ao destravar sua solução
TBook_ExtensibleScroll_Warning_2_0	Indent>Destravar Solução do Quebra-cabeça?
TBook_ExtensibleScroll_Button	Destravar Solução
TBook_ExtensibleScroll_Award_Obtained	Prêmio Recebido:
TBook_MainChar_Unlocked	Você destravou um verbete de personagem principal no bestiário.
TBook_Scroll_Extension_Fail	Há uma pista escondida nesta área
TBook_Scroll_Extension_Success	Você descobriu uma nova dica: confira o Livro de Viagem
TBook_ExtensibleScroll_Warning_Chess_1_0	Indent>Você vai perder o prêmio do jogo se pular.
TBook_ExtensibleScroll_Warning_Chess_2_0	Indent>Pular Jogo de Guerra?
TBook_ExtensibleScroll_Button_Chess	Pular Jogo de Guerra
TBook_Scroll_1_1_besieged_village_2_0	.
PS3_TBook_Scroll_1_1_besieged_village_2_0	Indent>Existem alguns destroços no chão que foram feitos quando o Warg quebrou a cerca. Essas estacas podem ser úteis contra esse monstro... (Você pode interagir com objetos brilhantes pressionando o botão R2 enquanto fica próximo deles)
TBook_Scroll_1_1_besieged_village_2_Title	Dica do Manuscrito
TBook_Scroll_1_1_besieged_village_4_0	Indent>Complete a fase derrotando o Grande Warg com pelo menos um sobrevivente da aldeia
TBook_Scroll_1_1_besieged_village_4_Title	Descrição da Prova
TBook_Scroll_1_4_haunting_path_4_0	Indent>Complete a fase sem recuperar a saúde de forma alguma
TBook_Scroll_1_4_haunting_path_4_Title	Descrição da Prova
TBook_Scroll_1_5_swamp_1_0	Indent>Há alguma coisa na água... algo terrível. Vi homens sendo puxados para o fundo, de onde nunca mais voltam. A localização destas criaturas só pode ser observada pela agitação da água e pelas bolhas que emergem à superfície. Pelo visto é preciso esperar que a bolhas e as ondulações desapareçam antes de avançar pelo pântano. Não é possível dar a volta, pois há nuvens de fumaça venenosa saindo do chão por ambos os lados. Então é preciso ser paciente e esperar pelo momento certo para passar por cima delas.
TBook_Scroll_1_5_swamp_1_1	Indent>Bah, sei que vou morrer, mas ao menos vou morrer lutando, e não engolido por estes malditos lamacentos!
TBook_Scroll_1_5_swamp_1_Title	História do Cavaleiro da Irmandade
TBook_Scroll_1_5_swamp_2_Title	História do Cavaleiro da Irmandade
TBook_Scroll_1_5_swamp_2_0	Indent>Existe um mausoléu aqui no pântano, intacto, que não é perturbado há anos. O Cardeal Volpe informou que o lendário artesão Rinaldo Gandolfi construiu uma relíquia durante sua passagem por lá que ajudará aquele que leva a Cruz de Combate. Devo admitir que estou preocupado: muitos dos meus companheiros jazem mortos ao longo do caminho, então fico me pergunto se essa busca inútil não será o meu fim também.
TBook_Scroll_1_5_swamp_3_Title	História do Cavaleiro da Irmandade
TBook_Scroll_1_5_swamp_3_0	Indent>Alguma coisa está pressionando as tribos dos Goblins a se aproximar cada vez mais de nossas cidades e aldeias, o que tem causado os recentes conflitos entre eles e os humanos. E suspeito que tal coisa seja a magia negra que fomos enviados para investigar. Algo incrivelmente maligno está tomando conta da terra, e me preocupo cada vez mais com o que eu e meus irmãos encontraremos pela frente.
TBook_Scroll_1_5_swamp_4_0	Indent>Complete a fase depois de matar pelo menos 50 Goblins
TBook_Scroll_1_5_swamp_4_Title	Descrição da Prova
TBook_Scroll_1_7_pans_temple_1_0	Indent>Os cadáveres revirados dos meus irmãos estão espalhados por toda parte. Me sinto culpado por saquear os corpos de meus companheiros, mas vou acabar morto do mesmo jeito se não encontrar mais Gemas da Vida. Perdão, meus irmãos... Não vou durar muito tempo a menos que consiga melhorar minhas chances de sobrevivência... coisas das quais os mortos não precisam mais. Sei que há uma Gema da Vida por perto, posso até sentir ela. Mas preciso muito descansar... me sinto tão fraco...
TBook_Scroll_1_7_pans_temple_1_Title	História do Cavaleiro da Irmandade
TBook_Scroll_1_7_pans_temple_2_0	Indent>Martha, meu amor, temo que não conseguirei mais voltar. Cuide-se, e tome conta de nossa filha amada. Que Deus me perdoe por ter falhado em minha missão! Saiba que você estará sempre em meu coração e que, um dia, estaremos juntos novamente. Do esposo que te ama, Victor.
TBook_Scroll_1_7_pans_temple_2_Title	História do Cavaleiro da Irmandade
TBook_Scroll_1_7_pans_temple_3_0	Indent>Para alcançar Marie antes que ela morra
TBook_Scroll_1_7_pans_temple_3_1	Indent>precisas encontrar uma orientação
TBook_Scroll_1_7_pans_temple_3_2	Indent>Tente superar sua aflição
TBook_Scroll_1_7_pans_temple_3_3	Indent>e evitará que a morte dela ocorra
TBook_Scroll_1_7_pans_temple_3_4	Indent>Escolha apenas uma direção
TBook_Scroll_1_7_pans_temple_3_5	Indent>para a qual as três rodas girar
TBook_Scroll_1_7_pans_temple_3_6	Indent>e o brilho delas vai revelar
TBook_Scroll_1_7_pans_temple_3_7	Indent>o caminho escondido da redenção
TBook_Scroll_1_7_pans_temple_3_Extended_0	Indent>Para alcançar Marie antes que ela morra
TBook_Scroll_1_7_pans_temple_3_Extended_1	Indent>precisas encontrar uma orientação
TBook_Scroll_1_7_pans_temple_3_Extended_10	Indent>Você ouve a voz de Pan em sua cabeça: A partir da posição inicial, mova o círculo maior e o menor duas vezes no sentido horário. Então mova o círculo do meio, uma vez, na mesma direção. Se você se perder, olhe na direção para a qual brilham as rodas, e elas te apontarão à solução.
TBook_Scroll_1_7_pans_temple_3_Extended_2	Indent>Tente superar sua aflição
TBook_Scroll_1_7_pans_temple_3_Extended_3	Indent>e evitará que a morte dela ocorra
TBook_Scroll_1_7_pans_temple_3_Extended_4	Indent>Escolha apenas uma direção
TBook_Scroll_1_7_pans_temple_3_Extended_5	Indent>para a qual as três rodas girar
TBook_Scroll_1_7_pans_temple_3_Extended_6	Indent>e brilho delas vai revelar
TBook_Scroll_1_7_pans_temple_3_Extended_7	Indent>o caminho escondido da redenção
TBook_Scroll_1_7_pans_temple_3_Extended_8	.
TBook_Scroll_1_7_pans_temple_3_Extended_9	Bold>Solução do Quebra-cabeça
TBook_Scroll_1_7_pans_temple_3_Extended_Title	Dica do Manuscrito
TBook_Scroll_1_7_pans_temple_3_Title	Dica do Manuscrito
TBook_Scroll_1_7_pans_temple_4_0	Indent>Complete a fase depois de vencer a prova do Pan em 5 movimentos
TBook_Scroll_1_7_pans_temple_4_Title	Descrição da Prova
TBook_Scroll_1_9_oblivion_lake_4_0	Indent>Complete a fase e derrote o Titã de Gelo em menos de 1:30 minutos
TBook_Scroll_1_9_oblivion_lake_4_Title	Descrição da Prova
TBook_Scroll_10_1_marsh_of_silence_4_0	Indent>Complete a fase depois de receber pelo menos 100 pontos de dano por envenenamento da névoa mortal
TBook_Scroll_10_1_marsh_of_silence_4_Title	Descrição da Prova
TBook_Scroll_10_1_marsh_of_silence_2_0	Indent>Os restos da última batalha! Os Titãs que aqui descansam são remanescentes de uma era há muito perdida, e são baixas de uma guerra contra a encarnação do mal. A Terra dos Mortos está fechada para pessoas de fé, e apenas aqueles cujos corações são corrompidos podem entrar. Nem eu, nem meus irmãos, podemos passar deste ponto a menos que tenhamos sucumbido à tentação. Pergunto-me: será que alguém poderia derrotar este mal?
TBook_Scroll_10_1_marsh_of_silence_2_Title	História do Cavaleiro da Irmandade
TBook_Scroll_10_1_marsh_of_silence_3_0	Indent>É preciso aprender a Magia Sombria para compreender profundamente o mal que enfrentamos. É preciso tornar-se o mal a fim de poder destruí-lo. Não há lugar no Céu para nós quando nos tornamos aquilo que combatemos.
TBook_Scroll_10_1_marsh_of_silence_3_Title	História do Cavaleiro da Irmandade
TBook_Scroll_10_1_marsh_of_silence_1_Title	História do Cavaleiro da Irmandade
TBook_Scroll_10_1_marsh_of_silence_1_0	Indent>Muitos caíram. Seus corpos foram espalhados como folhas ao vento. A profecia fala daquele que é puro de coração, mas ninguém que seja puro de coração pode passar por aqui. Se alguém for forte o suficiente para enfrentar a Morte, temo que esse alguém possa ser também uma praga para a humanidade. Talvez estejamos destinados a sermos governados pelo mal? O forte conquistando o fraco: talvez seja essa a vontade de Deus?
TBook_Scroll_10_2_misty_moor_4_0	Indent>Complete a fase sem deixar que Pan recupere sua saúde durante a luta
TBook_Scroll_10_2_misty_moor_4_Title	Descrição da Prova
TBook_Scroll_10_3_cementery_1_0	Indent>Não há nada além da morte à minha frente. O fogo do Inferno brilha, e não há escapatória. O Senhor da Morte tudo vê, e estou aqui, enfrentando criaturas que lembram cadáveres. Ouço os gritos da tortura de meus irmãos, e minhas habilidades parecem inúteis contra todos, menos contra as criaturas mais fracas: preciso do máximo de habilidade apenas para me concentrar. Que os Céus me ajudem, pois temo que eu não esteja à altura da tarefa!
TBook_Scroll_10_3_cementery_1_Title	História do Cavaleiro da Irmandade
TBook_Scroll_10_3_cementery_2_0	Indent>Finalmente! Precisei de dias de trabalho duro para conseguir, mas descobri uma forma de trancar as três fechaduras da gaiola gigante. Foi tão fácil... e tudo o que eu precisava era de um cristal de energia para energizar as 'chaves'! Agora, o resto dos cavaleiros terá de atrair a criatura para cá, para prendê-la, e então poderemos sair deste cemitério maldito...
TBook_Scroll_10_3_cementery_2_Extended_0	Indent>Finalmente! Precisei de dias de trabalho duro para conseguir, mas descobri uma forma de trancar as três fechaduras da gaiola gigante. Foi tão fácil... e tudo o que eu precisava era de um cristal de energia para energizar as 'chaves'! Agora, o resto dos cavaleiros terá de atrair a criatura para cá, para prendê-la, e então poderemos sair deste cemitério maldito...
TBook_Scroll_10_3_cementery_2_Extended_1	.
TBook_Scroll_10_3_cementery_2_Extended_2	Bold>Solução do Quebra-cabeça
TBook_Scroll_10_3_cementery_2_Extended_3	Indent> Se por acaso alguém quiser abrir a gaiola novamente, basta repetir meus passos:
TBook_Scroll_10_3_cementery_2_Extended_4	Indent>Cada fechadura abrirá apenas depois de ser atingida por um raio de luz vindo de um dos monólitos. Para que o raio de luz seja disparado, essas pedras flutuantes devem ser energizadas por um cristal de energia completo. Apesar do tamanho, elas podem ser movidas com um golpe de arma branca, mas apenas se estiverem sobre os trilhos reluzentes no chão. Se você tiver apenas um cristal de energia, ele poder ser reutilizado em diferentes monólitos, de acordo com sua necessidade. Além disso, este mapa mostrará sua posição e a posição dos monólitos: use-os com sabedoria!
TBook_Scroll_10_3_cementery_2_Extended_Title	Dica do Manuscrito
TBook_Scroll_10_3_cementery_2_Title	Dica do Manuscrito
TBook_Scroll_10_3_cementery_3_0	Indent>O calor é inacreditável. Acho que não conseguirei. Se não fosse por Gandolfi e sua incrível criação, eu não teria chegado tão longe. Que Deus proteja Gandolfi e o escolhido. Que Deus proteja a todos nós do feitiço.
TBook_Scroll_10_3_cementery_3_Title	História do Cavaleiro da Irmandade
TBook_Scroll_10_3_cementery_4_0	Indent>Complete a fase depois de matar 20 zumbis em uma única sequência aérea
TBook_Scroll_10_3_cementery_4_Title	Descrição da Prova
TBook_Scroll_10_5_crematory_oven_1_0	Indent>Deixai toda esperança, ó vós que entrais!
TBook_Scroll_10_5_crematory_oven_1_Title	História do Cavaleiro da Irmandade
TBook_Scroll_10_5_crematory_oven_4_0	Indent>Complete a fase e mate pelo menos 15 cadáveres rastejantes conjurados durante a luta contra o coveiro
TBook_Scroll_10_5_crematory_oven_4_Title	Descrição da Prova
TBook_Scroll_11_0_the_necromancer_abyss_1_0	Indent>[...] há uma mensagem que aparece com muita frequência na doutrina necromântica, referida às vezes apenas como 'a chave', a qual parece importante para adentrar em seus domínios:
TBook_Scroll_11_0_the_necromancer_abyss_1_1	Indent>'Na quarta semana do mês da virgem a sombra será mais poderosa do que a luz, e o caminho para o abismo será revelado
TBook_Scroll_11_0_the_necromancer_abyss_1_2	Indent>Tenho esperado por este dia há meses, mas o tempo parece ter parado desde que cheguei...
TBook_Scroll_11_0_the_necromancer_abyss_1_Extended_0	Indent>[...] há uma mensagem que aparece com muita frequência na doutrina necromântica, referida às vezes apenas como 'a chave', a qual parece importante para adentrar em seus domínios:
TBook_Scroll_11_0_the_necromancer_abyss_1_Extended_1	Indent>'Na quarta semana do mês da virgem a sombra será mais poderosa do que a luz, e o caminho para o abismo será revelado
TBook_Scroll_11_0_the_necromancer_abyss_1_Extended_2	Indent>Tenho esperado por este dia há meses, mas o tempo parece ter parado desde que cheguei...
TBook_Scroll_11_0_the_necromancer_abyss_1_Extended_3	.
TBook_Scroll_11_0_the_necromancer_abyss_1_Extended_4	Bold>Solução do Quebra-cabeça
TBook_Scroll_11_0_the_necromancer_abyss_1_Extended_5	Indent>Estes símbolos estão escritos na parte de trás do manuscrito:
TBook_Scroll_11_0_the_necromancer_abyss_1_Extended_Title	Dica do Manuscrito
TBook_Scroll_11_0_the_necromancer_abyss_1_Title	Dica do Manuscrito
TBook_Scroll_11_0_the_necromancer_abyss_2_0	Indent>'Cores são movimentos.' Isso foi o que a bruxa disse antes de me trazer aqui. Inicialmente eu não sabia do que ela estava falando, mas agora tenho certeza de aquilo tinha relação com estes azulejos no chão
TBook_Scroll_11_0_the_necromancer_abyss_2_Extended_0	Indent>'Cores são movimentos.' Isso foi o que a bruxa disse antes de me trazer aqui. Inicialmente eu não sabia do que ela estava falando, mas agora tenho certeza de aquilo tinha relação com estes azulejos no chão
TBook_Scroll_11_0_the_necromancer_abyss_2_Extended_1	.
TBook_Scroll_11_0_the_necromancer_abyss_2_Extended_2	Bold>Solução do Quebra-cabeça
TBook_Scroll_11_0_the_necromancer_abyss_2_Extended_3	Indent>Tenho usado pedras para empurrar os azulejos, mas agora a maioria deles está quebrada, e perdi toda minha força: se alguém ler isto, saiba que eu estava certo, e que cada um dos azulejos representa uma direção para onde mover o fogo mágico através da porta. Para ativar o dispositivo, acerte uma vez o azulejo central...
TBook_Scroll_11_0_the_necromancer_abyss_2_Extended_Title	Dica do Manuscrito
TBook_Scroll_11_0_the_necromancer_abyss_2_Title	Dica do Manuscrito
TBook_Scroll_11_0_the_necromancer_abyss_3_Title	História do Cavaleiro da Irmandade
TBook_Scroll_11_0_the_necromancer_abyss_3_0	Indent>Estou preso nesta pedra flutuante. Essas terras são um enorme e insano quebra-cabeça, com milhares de espelhos que podem transportá-lo para qualquer lugar. Assim é a chamada 'Abertura Mágica' dos Necromantes. O problema é descobrir para onde cada espelho leva: passei o dia e a noite aqui, e fico cada vez mais cansado a cada porta que abro. Por que a morte não me encontra e me leva?
TBook_Scroll_11_0_the_necromancer_abyss_4_0	Indent>Complete a fase depois de destruir 60 ceifadores
TBook_Scroll_11_0_the_necromancer_abyss_4_Title	Descrição da Prova
TBook_Scroll_11_8_dracolich_4_0	Indent>Complete a fase e derrote o Dracolich em menos de 5 minutos
TBook_Scroll_11_8_dracolich_4_Title	Descrição da Prova
TBook_Scroll_12_3_final_fight_4_0	Indent>Complete a fase e derrote o Satã sem ser atingido por qualquer ataque com a cor mágica oposta
TBook_Scroll_12_3_final_fight_4_Title	Descrição da Prova
TBook_Scroll_2_10_black_knight_4_0	Indent>Complete a fase e derrote o Cavaleiro Negro Golem sem usar a energia da Magia da Luz
TBook_Scroll_2_10_black_knight_4_Title	Descrição da Prova
TBook_Scroll_2_2_enchanted_forest_1_0	Indent>Meu companheiro de armas foi se aventurar enquanto descanso um pouco. O calor do sol é implacável, e minha ferida ainda me incomoda. Dei a ele minha Gema da Vida na esperança de que ele possa encontrar provisões antes do cair da noite, pois nossos suprimentos já estão acabando. Ele é um bom rapaz, forte e ansioso, mas ainda precisa aprender a ser paciente em combate se quiser sobreviver. Espero que eu não tenha dado a Gema da Vida em vão...
TBook_Scroll_2_2_enchanted_forest_1_Title	História do Cavaleiro da Irmandade
TBook_Scroll_2_2_enchanted_forest_2_0	Indent>A Grande Dekuh foi um dia a maior e mais bela árvore da floresta: ela era tão alta que sua copa podia ser vista a quilômetros de distância. Algumas pessoas acreditavam que ela tinha vida, e que seus poderes mágicos protegiam a floresta dos ataques das criaturas das trevas.
TBook_Scroll_2_2_enchanted_forest_2_1	Indent>Não sei se as lendas são verdadeiras, mas a verdade é que os Senhores das Trevas, talvez por verem a árvore como um símbolo da vida, amaldiçoaram-na com uma praga que ainda vive sob seu toco morto.
TBook_Scroll_2_2_enchanted_forest_2_Title	História do Cavaleiro da Irmandade
TBook_Scroll_2_2_enchanted_forest_3_0	Indent>Deus está nos punindo por causa de nossos pecados. O caos tomou conta do mundo e iremos todos morrer em breve, presos no limbo entre o Céu e a Terra, sem chance de redenção, sem meios de fuga. Fui gravemente ferido, e os Lycans podem sentir o cheiro do sangue: eles estão me caçando. Meu destino é iminente. Senhor, perdoe-me. O Cardeal Volpe nos enviou à morte, e para quê? Eu e meus companheiros guerreiros restamos derrotados e perdidos pelo caminho. Maldito seja ele e sua missão inútil: ele e os anciãos também deveriam estar sofrendo pelos seus pecados!
TBook_Scroll_2_2_enchanted_forest_3_Title	História do Cavaleiro da Irmandade
TBook_Scroll_2_2_enchanted_forest_4_0	Indent>Complete a fase depois de matar 30 Goblins com suas próprias granadas.
TBook_Scroll_2_2_enchanted_forest_4_Title	Descrição da Prova
TBook_Scroll_2_3_underground_cave_1_0	Indent>Tenho seguido os rastros de Rinaldo Gandolfi, famoso alquimista e membro da Irmandade da Luz. Não sei o que o levou a deixar a ordem ou mesmo por que ele desapareceu do meio da civilização, mas que suas habilidades seriam muito úteis nestes tempos sombrios, isso é certo. Dizem que ele criou muitas armas e relíquias mágicas, e que ele as esconde em lugares difíceis de encontrar, onde somente os mais comprometidos e merecedores podem encontrá-las.
TBook_Scroll_2_3_underground_cave_1_Title	História do Cavaleiro da Irmandade
TBook_Scroll_2_3_underground_cave_2_0	Indent>Para onde quer que eu olhe, há morte e decadência. Deus nos abandonou. Abandonei minha busca: é impossível. Não quero morrer para terminar como meus companheiros, caídos à beira da estrada, destinados a serem um recurso para outros aventureiros. Não quero um destino assim!
TBook_Scroll_2_3_underground_cave_2_Title	História do Cavaleiro da Irmandade
TBook_Scroll_2_3_underground_cave_3_0	Indent>Embora sejam grandes, as Aranhas são surpreendentemente rápidas e ágeis. Ouvi dizer que um guerreiro habilidoso pode domá-las até certo ponto, cansando elas o bastante para montá-los como um Javali. Também ouvi que suas teias podem ser usadas para tecer pontes fortes o suficiente para aguentar o peso de um homem adulto. Incrível! Talvez eu esteja perdendo o juízo preso neste lugar infernal: devo estar louco por acreditar em uma coisa dessas...!
TBook_Scroll_2_3_underground_cave_3_Title	História do Cavaleiro da Irmandade
TBook_Scroll_2_3_underground_cave_4_0	Indent>Complete a fase depois de matar pelo menos 10 inimigos enquanto estiver infectado pelo veneno da Aranha
TBook_Scroll_2_3_underground_cave_4_Title	Descrição da Prova
TBook_Scroll_2_4_labyrinth_entrance_1_0	Indent>Há Lycans à frente e Javalis atrás: será que não há descanso nem para os perversos? Decidi me esconder aqui até que seja seguro fugir, pois este lugar está repleto de asseclas do Senhor dos Lycans e não consigo encontrar um caminho para cidade. Os arredores à minha volta são difíceis de percorrer, exigindo habilidades que claramente não possuo. Tenho tanta fome, não como há dias...
TBook_Scroll_2_4_labyrinth_entrance_1_Title	História do Cavaleiro da Irmandade
TBook_Scroll_2_4_labyrinth_entrance_2_0	Indent>Tenho praticado minhas habilidades de luta e descobri que, se eu bloquear com frequência, posso aumentar minha concentração. O esforço está valendo a pena porque posso me concentrar muito mais rápido, o que me permite manter a Magia ativa durante todo o combate.
TBook_Scroll_2_4_labyrinth_entrance_2_Title	História do Cavaleiro da Irmandade
TBook_Scroll_2_4_labyrinth_entrance_3_0	Indent>Toda criatura é fraca contra uma arma específica. Quem for esperto, conseguirá deduzir qual é o ponto fraco de cada criatura e usá-lo contra elas. Farei algumas anotações, um tipo de bestiário, para lembrar o que preciso saber sobre cada monstro e qual é a melhor forma de derrotá-lo.
TBook_Scroll_2_4_labyrinth_entrance_3_Title	História do Cavaleiro da Irmandade
TBook_Scroll_2_4_labyrinth_entrance_4_0	Indent>Complete a fase depois de matar pelo menos 5 Javalis
TBook_Scroll_2_4_labyrinth_entrance_4_Title	Descrição da Prova
TBook_Scroll_2_6_underground_dungeons_1_0	Indent>Tenho saqueado os cadáveres dos meus irmãos em busca de Gemas. Se eu coletar o suficiente, serei invencível. Tolos, enquanto estão ocupados tentando salvar o mundo, logo serei capaz de conquistá-lo com meu novo poder! Sei que há uma Gema da Luz por perto, e vou encontrá-la. Ninguém pode me deter agora... ninguém!
TBook_Scroll_2_6_underground_dungeons_1_Title	História do Cavaleiro da Irmandade
TBook_Scroll_2_6_underground_dungeons_2_0	Indent>Aprendi que revisitar áreas pode trazer resultados interessantes. Encontrei itens e relíquias que eu não conseguia na época, mas à medida que fui me tornando mais forte, pude revisitar os lugares e coletar itens valiosos para melhorar minhas habilidades. Continuarei conferindo o mapa para ter certeza de que não estou deixando nada de útil para trás!
TBook_Scroll_2_6_underground_dungeons_2_Title	História do Cavaleiro da Irmandade
TBook_Scroll_2_6_underground_dungeons_4_0	Indent>Complete a fase depois de matar pelo menos 20 Pequenos Trolls enquanto estiver montado em um Troll
TBook_Scroll_2_6_underground_dungeons_4_Title	Descrição da Prova
TBook_Scroll_2_7_labyrinth_ruins_ii_1_0	Indent>Senhor, por favor, ajude-me a encontrar um caminho por esta cidade cruel. Fui um servo fiel, bom, honesto e decente. Tenho visto criaturas montadas em Wargs que parecem quase domesticados sob seu controle. Como isso é possível? Senhor, por favor, mostre-me como proceder de modo que eu possa continuar com minha missão de reunir este mundo com seu reino dos céus. Amém.
TBook_Scroll_2_7_labyrinth_ruins_ii_1_Title	História do Cavaleiro da Irmandade
TBook_Scroll_2_7_labyrinth_ruins_ii_2_0	Indent>Esta cidade é um labirinto, mas deduzo que é possível encontrar o caminho com paciência e cuidado. Procurei em cantos e recantos e acabei encontrando gemas e itens que serão, sem dúvida, muito úteis mais tarde. Também consegui pegar algumas adagas de prata, que são especialmente úteis contra os Lycans.
TBook_Scroll_2_7_labyrinth_ruins_ii_2_Title	História do Cavaleiro da Irmandade
TBook_Scroll_2_7_labyrinth_ruins_ii_3_0	Indent>Muitas áreas estão bloqueadas, mas descobri que os Trolls das Cavernas são bons em destruir barreiras e portões. Se um Troll for atingido com bastante força, ele ficará atordoado a ponto de ser domado e usado à vontade. Será que é possível domar outras criaturas da mesma forma?
TBook_Scroll_2_7_labyrinth_ruins_ii_3_Title	História do Cavaleiro da Irmandade
TBook_Scroll_2_7_labyrinth_ruins_ii_4_0	Indent>Complete a fase sem usar a energia da Magia Sombria
TBook_Scroll_2_7_labyrinth_ruins_ii_4_Title	Descrição da Prova
